Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2008,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2009,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2010,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2011,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2012,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2013,5429,0.1%,5.5,6,,3920000,1
"Part of the wider Israeli-Palestine conflict, territorial conflict over the Gaza Strip has caused thousands of deaths since since Hamas took power in the Palestinian Legislative Council Elections in 2006. Israel launched major offensives in 2008/9, 2012 & 2014, with 2014's 'Operation Protective Edge' seeing the highest death toll so far. A ceasefire was agreed upon in August 2014.",,2008-2014,2014,http://www.bbc.co.uk/news/world-middle-east-28439404,Combined population of West Bank & the Gaza Strip 2009.,,,,True,GAZA-ISRAEL CONFLICT,SMALL REGION,"BBC, United Nations",2008,Israel has carried out major offensives in Gaza since the Hamas victory in the Palestinian Legislative Council elections in 2006.,years,WAR,,,2014,5429,0.1%,5.5,6,,3920000,1
War waged by a U.N.-authorized coalition force from 34 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait.,"482 coaltition, 200 Kuwait, upper estimate 35000 Iraq. Plus civilian losses 1000 kuwaiti, 3664 iraqi, 2 israeli, 1 saudi.",August 1990 - Feb 1991,1991,http://en.wikipedia.org/wiki/Gulf_War#cite_ref-ca.encarta.msn.com_8-0,"Includes - population of affected countries:
Iraq: 17,520,000
Kuwait: 2,060,000
Israel: 4,660,000
Saudi Arabia: 16,210,000

Plus - international troops (excluding troops from battle locations, already accounted for in population figures), total: 848,250.",,,,False,GULF WAR,INTERNATIONAL,"Wikipedia, MSN Encarta",1990,A coalition force from 34 nations led by the US interceded against Iraq's annexation of Kuwait.,year,WAR,,http://www.webcitation.org/5kwqMXGNZ,1990,40349,0.1%,0.5,1,6,41298250,7
War waged by a U.N.-authorized coalition force from 34 nations led by the United States against Iraq in response to Iraq's invasion and annexation of Kuwait.,"482 coaltition, 200 Kuwait, upper estimate 35000 Iraq. Plus civilian losses 1000 kuwaiti, 3664 iraqi, 2 israeli, 1 saudi.",August 1990 - Feb 1991,1991,http://en.wikipedia.org/wiki/Gulf_War#cite_ref-ca.encarta.msn.com_8-0,"Includes - population of affected countries:
Iraq: 17,520,000
Kuwait: 2,060,000
Israel: 4,660,000
Saudi Arabia: 16,210,000

Plus - international troops (excluding troops from battle locations, already accounted for in population figures), total: 848,250.",,,,False,GULF WAR,INTERNATIONAL,"Wikipedia, MSN Encarta",1990,A coalition force from 34 nations led by the US interceded against Iraq's annexation of Kuwait.,year,WAR,,http://www.webcitation.org/5kwqMXGNZ,1991,40349,0.1%,0.5,1,6,41298250,7
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1969,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1970,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1971,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1972,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1973,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1974,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1975,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1976,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1977,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1978,300000,3.3%,10,10,120,9162800,2
"From Uganda's independence from Great Britain in 1962 to early 1971, Milton Obote's regime had terrorized, harassed, and tortured people. Frequent food shortages had sent prices through the ceiling. Obote's persecution of Indian traders had contributed to this.",,1969-1979,1979,http://www.scaruffi.com/politics/dictat.html,Population of Uganda 1969.,,,,False,IDI AMIN,SMALL COUNTRY,Piero Scaruffi,1969,Eccentric and violent dictatorship led to summary executions and violent persecution of rivals.,years,GENOCIDE,purge,http://en.wikipedia.org/wiki/Idi_Amin,1979,300000,3.3%,10,10,120,9162800,2
